Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDW58,OUT049,1874.623607
FDW14,OUT017,1584.563332
NCN55,OUT010,1859.777718
FDQ58,OUT017,2552.801119
FDY38,OUT027,5039.381991
FDH56,OUT046,1915.027631
FDL48,OUT018,693.8992418
FDC48,OUT027,2849.209819
FDN33,OUT045,1538.894873
FDA36,OUT017,3008.340825
FDT44,OUT017,2028.212082
FDQ56,OUT045,1390.861341
NCC54,OUT019,1864.920993
FDU11,OUT049,2081.208227
DRL59,OUT013,1012.977619
FDM24,OUT049,2500.548867
FDI57,OUT045,3012.155099
DRC12,OUT018,2725.991483
NCM42,OUT027,3258.615591
FDA46,OUT010,1172.85626
FDA31,OUT013,2771.429174
NCJ31,OUT035,3815.67807
FDG52,OUT046,922.5560878
NCL19,OUT019,462.591833
FDS10,OUT035,2969.358325
FDX22,OUT010,1398.48128
NCF19,OUT035,1065.770193
NCE06,OUT046,2547.613313
DRC27,OUT046,3738.579165
FDE21,OUT035,2051.618492
NCR42,OUT019,1.87167441
FDX51,OUT018,2764.975973
NCR06,OUT018,583.9093326
FDU31,OUT027,4803.74775
FDU59,OUT017,2684.654029
FDR03,OUT027,4622.826775
FDS49,OUT027,2839.274951
FDD48,OUT010,33.29205174
NCF18,OUT017,3083.52438
NCD43,OUT027,3168.606949
NCD54,OUT018,2027.630915
FDY19,OUT010,70.88382928
NCY54,OUT017,2823.167361
NCL19,OUT018,2048.627403
FDP23,OUT010,1508.923034
FDC26,OUT013,1873.181585
FDR14,OUT010,1.87167441
NCS41,OUT035,3005.520214
FDF41,OUT035,3933.306446
FDU34,OUT046,2025.92123
DRH11,OUT046,1055.838886
FDM03,OUT013,1794.612054
FDS31,OUT017,2924.54076
FDJ20,OUT017,2085.296104
FDV44,OUT027,4388.622423
FDG02,OUT049,3032.212994
FDA09,OUT013,2838.033396
FDT04,OUT013,817.8321102
FDL58,OUT019,2191.467567
FDE52,OUT045,1458.932629
FDW12,OUT035,2456.208398
FDL51,OUT017,3410.070954
NCY42,OUT027,3711.258342
FDR07,OUT017,1720.254063
FDN40,OUT045,2353.305219
FDB35,OUT027,2982.492618
FDA22,OUT017,2706.968874
NCL06,OUT046,3994.23185
FDI35,OUT013,2860.87444
NCW42,OUT045,3339.153517
NCX06,OUT049,2907.509529
FDC37,OUT027,3237.204436
FDZ14,OUT018,1727.311363
DRG49,OUT049,3839.096405
NCG06,OUT045,3834.166734
DRC36,OUT045,2653.661949
FDV21,OUT019,212.6958804
FDB53,OUT046,2365.299626
DRP47,OUT019,2036.773613
FDA14,OUT013,2344.864736
DRC24,OUT035,2568.531886
FDW21,OUT018,1416.456389
NCH29,OUT046,1632.244235
FDU58,OUT013,2967.063705
FDY27,OUT017,2875.961716
FDV56,OUT035,1943.095648
FDT59,OUT046,3536.773234
FDB23,OUT046,3464.412279
FDR49,OUT045,831.0141046
FDB03,OUT010,1866.927162
FDN39,OUT045,2540.360417
FDX02,OUT027,4880.813039
FDQ16,OUT027,3231.447703
FDU35,OUT018,1399.786745
NCT29,OUT013,2015.495562
FDZ27,OUT046,928.201289
FDN57,OUT017,2343.77139
FDA03,OUT018,2059.540314
FDZ36,OUT045,2825.514569
NCU05,OUT013,1429.532835
FDT39,OUT018,2138.561691
FDK60,OUT017,1725.936441
FDZ25,OUT017,2756.488784
FDG12,OUT046,1985.958697
DRB01,OUT019,1166.182935
NCC43,OUT027,5273.549167
FDX13,OUT019,1982.02317
FDM22,OUT049,1091.070262
FDJ03,OUT027,2388.928602
FDU14,OUT018,3548.981163
FDB33,OUT010,676.8649992
FDP27,OUT046,2966.050263
FDO38,OUT010,1.87167441
FDE28,OUT027,5008.450636
FDO27,OUT035,1748.853829
DRL23,OUT027,3221.475659
FDS28,OUT046,1040.072932
FDX24,OUT013,1592.3171
FDZ02,OUT035,1763.11554
FDL46,OUT045,1842.074203
FDS60,OUT027,4246.308446
NCO06,OUT017,808.6484528
FDO16,OUT035,1595.137919
FDC60,OUT049,1581.341967
FDA48,OUT018,3126.254546
FDZ36,OUT027,4355.809333
FDK27,OUT045,1895.394758
FDW23,OUT018,532.5076887
FDM14,OUT018,1552.14712
FDM14,OUT013,1816.512231
FDW60,OUT018,2520.34773
FDE21,OUT013,1934.103429
NCM42,OUT035,1949.267049
FDY59,OUT010,1.87167441
DRI49,OUT049,1495.208323
FDT28,OUT019,590.1922531
FDQ22,OUT018,543.4577774
FDR60,OUT049,1426.648013
FDC50,OUT019,1.87167441
FDV24,OUT013,2439.652067
DRF48,OUT010,1096.731838
FDQ47,OUT046,763.0834455
DRN36,OUT049,1724.671165
NCY06,OUT035,2223.885779
FDE52,OUT035,1665.579963
NCB54,OUT045,1984.877201
NCF31,OUT035,2567.139174
FDJ08,OUT027,4403.862178
NCC07,OUT017,1853.047839
NCD19,OUT027,2458.881624
FDL46,OUT049,2033.118205
FDM20,OUT045,3690.460046
NCI06,OUT010,983.4303063
DRM11,OUT035,4093.193756
NCH07,OUT018,2243.28389
FDS23,OUT013,2120.706782
FDO49,OUT018,679.5631763
FDS35,OUT049,1265.782659
DRK39,OUT045,1349.883587
DRI39,OUT049,1165.839149
FDV04,OUT017,2595.62343
NCN14,OUT035,2995.510992
FDH08,OUT013,3573.49672
FDS20,OUT046,2857.038398
FDV40,OUT049,1410.504568
FDZ48,OUT010,1.87167441
FDS24,OUT027,2942.041062
FDK44,OUT049,2825.665551
FDS48,OUT045,2321.432997
FDK26,OUT010,1075.772527
FDD23,OUT045,2866.492323
NCH54,OUT017,2645.14334
NCP14,OUT010,1.87167441
FDM60,OUT010,1.87167441
FDV24,OUT017,2499.480565
FDH08,OUT018,3249.076278
FDS12,OUT027,3515.209143
FDR39,OUT027,4272.950135
FDP12,OUT027,2211.882626
DRF60,OUT027,5071.217036
FDC09,OUT035,1854.06505
FDF50,OUT018,2816.903816
FDG28,OUT035,3872.79927
NCE19,OUT017,1129.512648
NCM53,OUT010,1.87167441
NCN18,OUT049,1918.83863
FDF32,OUT035,3232.612299
FDF11,OUT013,3692.932475
DRI59,OUT049,3552.549542
NCG54,OUT035,2808.907639
FDM44,OUT046,1689.81728
FDT57,OUT018,3355.228365
FDV24,OUT046,2401.987714
FDI50,OUT019,1684.978063
FDS09,OUT035,1117.209014
NCC31,OUT027,3900.721473
FDQ07,OUT019,1559.296553
FDC22,OUT017,3079.686558
FDZ56,OUT046,2661.403867
FDZ40,OUT019,1.87167441
FDS46,OUT027,3382.830035
DRD24,OUT045,2180.511732
FDV45,OUT017,3040.702069
FDL26,OUT045,2397.594596
FDA56,OUT018,1736.831562
FDN27,OUT046,1929.778365
FDM20,OUT049,3835.747606
FDO16,OUT017,1520.292688
FDL03,OUT035,3182.114345
FDE58,OUT046,1913.071543
FDI02,OUT027,3294.77748
NCC55,OUT019,1.87167441
FDR03,OUT018,2920.158948
FDB14,OUT017,1660.235909
FDR45,OUT013,3713.928963
NCN07,OUT017,2195.248836
FDM51,OUT019,1.87167441
FDT52,OUT027,5192.157034
FDL26,OUT046,2446.202737
NCZ42,OUT046,3656.283343
DRI47,OUT019,509.2891427
FDW40,OUT013,2287.743537
FDN34,OUT046,2659.484956
FDS01,OUT035,2935.567192
NCG55,OUT045,1831.650313
FDC11,OUT035,1635.063275
FDX35,OUT018,3214.796123
NCB06,OUT046,2533.351602
FDR09,OUT019,2143.414723
FDC53,OUT017,1722.09862
FDY45,OUT013,3918.594671
FDA22,OUT010,812.5557304
FDE02,OUT035,1747.461117
FDW21,OUT045,1611.707672
FDV34,OUT046,1292.376817
FDS59,OUT049,1893.137808
NCW17,OUT017,2164.806503
NCK54,OUT046,1915.968498
FDG17,OUT019,1919.671437
FDG35,OUT017,2810.750206
FDD08,OUT010,1.87167441
NCO07,OUT017,3355.283333
FDJ10,OUT010,437.4672904
FDW36,OUT017,1823.961041
FDW21,OUT010,1.87167441
FDY19,OUT017,2023.922415
DRE03,OUT013,942.0837306
NCC55,OUT049,878.3142419
FDH52,OUT010,1.87167441
FDO09,OUT017,4120.774322
FDU43,OUT045,3593.828159
FDX09,OUT010,905.8016413
FDH40,OUT019,1.87167441
FDW58,OUT017,1829.680596
FDC47,OUT017,3585.687041
NCR41,OUT035,1735.043963
DRG49,OUT035,3884.727402
FDC52,OUT027,3867.456539
FDY13,OUT046,1306.149507
FDY35,OUT013,898.7352206
FDI35,OUT017,2935.001826
NCU18,OUT049,2354.886091
FDY33,OUT018,2244.224757
FDC15,OUT027,3942.640094
FDU01,OUT049,2998.94806
NCU42,OUT046,2664.263644
NCV29,OUT018,2517.939798
NCY30,OUT017,2951.219626
FDQ46,OUT049,1935.997296
